Pincode,District,State
504273,KUMURAM BHEEM ASIFABAD,TELANGANA
504209,MANCHERIAL,TELANGANA
506371,HANUMAKONDA,TELANGANA
505415,Jagitial,TELANGANA
505304,RAJANNA SIRCILLA,TELANGANA
506145,JANGOAN,TELANGANA
506223,SIDDIPET,TELANGANA
506342,WARANGAL,TELANGANA
506169,JAYASHANKAR BHUPALAPALLY,TELANGANA
505467,KARIMNAGAR,TELANGANA
506165,Mulugu,TELANGANA
502102,MEDAK,TELANGANA
506102,MAHABUBABAD,TELANGANA
503305,KAMAREDDY,TELANGANA
505415,PEDDAPALLI,TELANGANA
502291,SANGAREDDY,TELANGANA
509130,WANAPARTHY,TELANGANA
509127,JOGULAMBA GADWAL,TELANGANA
509219,MAHABUBNAGAR,TELANGANA
509407,Narayanpet,TELANGANA
509350,VIKARABAD,TELANGANA
508101,YADADRI BHUVANAGIRI,TELANGANA
508255,NALGONDA,TELANGANA
503217,NIZAMABAD,TELANGANA
508201,SURYAPET,TELANGANA
534455,Eluru,ANDHRA PRADESH
531027,Anakapalli,ANDHRA PRADESH
531115,VISAKHAPATANAM,ANDHRA PRADESH
531024,Alluri Sitharama Raju,ANDHRA PRADESH
533005,Kakinada,ANDHRA PRADESH
533437,EAST GODAVARI,ANDHRA PRADESH
535557,Parvathipuram Manyam,ANDHRA PRADESH
535128,VIZIANAGARAM,ANDHRA PRADESH
532148,SRIKAKULAM,ANDHRA PRADESH
533126,Konaseema,ANDHRA PRADESH
786613,DIBRUGARH,ASSAM
787033,LAKHIMPUR,ASSAM
787026,DHEMAJI,ASSAM
782450,WEST KARBI ANGLONG,ASSAM
782482,KARBI ANGLONG,ASSAM
782446,HOJAI,ASSAM
782120,NAGAON,ASSAM
782121,MARIGAON,ASSAM
782411,KAMRUP METRO,ASSAM
507306,BHADRADRI KOTHAGUDEM,TELANGANA
507302,KHAMMAM,TELANGANA
521122,KRISHNA,ANDHRA PRADESH
523113,PRAKASAM,ANDHRA PRADESH
522612,Palnadu,ANDHRA PRADESH
522529,GUNTUR,ANDHRA PRADESH
